Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	bl[126]	bl[127]	bl[128]	bl[129]	bl[130]	bl[131]	bl[132]	bl[133]	bl[134]	bl[135]	bl[136]	bl[137]	bl[138]	bl[139]	bl[140]	bl[141]	bl[142]	bl[143]	bl[144]	bl[145]	bl[146]	bl[147]	bl[148]	bl[149]	bl[150]	bl[151]	bl[152]	bl[153]	bl[154]	bl[155]	bl[156]	bl[157]	bl[158]	bl[159]	bl[160]	bl[161]	bl[162]	bl[163]	bl[164]	bl[165]	bl[166]	bl[167]	bl[168]	bl[169]	bl[170]	bl[171]	bl[172]	bl[173]	bl[174]	bl[175]	bl[176]	bl[177]	bl[178]	bl[179]	bl[180]	bl[181]	bl[182]	bl[183]	bl[184]	bl[185]	bl[186]	bl[187]	bl[188]	bl[189]	bl[190]	bl[191]	bl[192]	bl[193]	bl[194]	bl[195]	bl[196]	bl[197]	bl[198]	bl[199]	bl[200]	bl[201]	TL
0	-63766.37	-64023.34	256.9695	0.0421848	0.245479	0.0249301	0.193704	0.0985154	0.190946	0.00270864	0.108448	0.0516365	0.425147	0.0711408	0.0317452	0.0367861	0.0261217	0.290244	0.00184549	0.102965	0.268068	0.107859	0.0171995	0.175168	0.0362222	0.211339	0.0355034	0.0579223	0.0778496	0.0761203	0.105493	0.000696285	0.0207787	0.0162135	0.0245915	0.225971	0.168337	0.10763	0.183894	0.117912	0.000145095	0.290161	0.0104559	0.00723908	0.150197	0.20519	0.0345582	0.0583672	0.148181	0.0354799	0.036455	0.0376966	0.0974911	0.1199	0.0343177	0.1466	0.035612	0.0158994	0.0873325	0.00120252	0.163255	0.0240709	0.0205265	0.0046454	0.0309537	0.107316	0.0147299	0.131941	0.0989111	0.00646559	0.124527	0.0786483	0.233891	0.120412	0.0734628	0.102081	0.0494762	0.0786968	0.0651058	0.024217	0.0327136	0.00642226	0.0588681	0.0473098	0.00613546	0.13017	0.0167584	0.0136144	0.15381	0.345541	0.181457	0.187538	0.088672	0.0996162	0.0802119	0.481449	0.11185	0.0101019	0.0871679	0.138754	0.236343	0.0473881	0.274789	0.0455903	0.0337401	0.0804318	0.3269	0.13128	0.0479998	0.0147629	0.0482327	0.294171	0.163644	0.0184652	0.0110138	0.1249	0.0401994	0.101852	0.015414	0.269187	0.0233901	0.0967698	0.00803966	0.166009	0.206798	0.0689589	0.0511234	0.201323	0.00484503	0.4766	0.119955	0.0166826	0.0219561	0.202633	0.0594313	0.0823899	0.00874627	0.502913	0.0329298	0.0272022	0.102251	0.0784993	0.2491	0.182894	0.208237	0.0206746	0.00216223	0.0121768	0.112371	0.198538	0.0483283	0.131338	0.285755	0.0851688	0.137708	0.138319	0.199072	0.0865325	0.138298	0.233596	0.108231	0.00879998	0.0219774	0.105299	0.0789206	0.0705825	0.0232456	0.292082	0.0349295	0.0122897	0.0360639	0.470489	0.0551128	0.159659	0.0808001	0.00334556	0.0192323	0.153682	0.0257886	0.197366	0.0578523	0.162497	0.0236187	0.0452383	0.0787844	0.0254676	0.0431182	0.100786	0.188074	0.00845676	0.00560451	0.209945	0.0989072	0.0104937	0.2086	0.039299	0.125168	0.0445784	0.0857298	0.0302557	0.045081	0.0424616	0.0805562	0.147234	20.58501
10	-60030.4	-60305.81	275.4109	0.0421848	0.269439	0.155296	0.193704	0.0985154	0.190946	0.00270864	0.108448	0.0516365	0.410345	0.0693689	0.0317452	0.0438507	0.0240409	0.205576	0.00184549	0.00326091	0.25894	0.107859	0.264243	0.175168	0.0362222	0.211339	0.037311	0.303855	0.108644	0.0958052	0.16294	0.0207156	0.176599	0.153077	0.0344397	0.00512454	0.168337	0.124761	0.176742	0.117912	0.0136822	0.018643	0.0105736	0.00723908	0.150197	0.198214	0.024588	0.0583672	0.148181	0.0354799	0.036455	0.0376966	0.0974911	0.1199	0.0343177	0.126263	0.035612	0.0158994	0.0873325	0.0117846	0.16348	0.0248794	0.0205265	0.0046454	0.0309537	0.00777029	0.0134095	0.0189539	0.00101983	0.00646559	0.123133	0.0786483	0.233891	0.120412	0.0724161	0.102081	0.0494762	0.0786968	0.0651058	0.024217	0.0327136	0.00642226	0.0588681	0.0473098	0.00775781	0.13017	0.0167584	0.0564139	0.139418	0.339828	0.175765	0.187538	0.0923988	0.0694054	0.0772465	0.0133706	0.11185	0.0101019	0.0871679	0.138754	0.236343	0.0473881	0.274789	0.0455903	0.104022	0.0804318	0.0139654	0.02962	0.0462836	0.0140437	0.0327467	0.294171	0.163644	0.000165791	0.0110138	0.012361	0.0401994	0.101852	0.015414	0.269187	0.0233901	0.0951508	0.00803966	0.166009	0.130895	0.0689589	0.0511234	0.201323	0.00307981	0.4766	0.0010668	0.0166826	0.0219561	0.312448	0.0594313	0.0823899	0.0108198	0.502913	0.0329298	0.00319381	0.102251	0.0784993	0.2491	0.0130113	0.130597	0.00220283	0.00260703	0.0080858	0.019221	0.00918248	0.0331721	0.131338	0.239217	0.0851688	0.137708	0.126089	0.0014677	0.0865325	0.138298	0.152565	0.108231	0.0368008	0.0219774	0.105299	0.0814523	0.0705825	0.0232456	0.281246	0.0349295	0.0122897	0.0360639	0.35944	0.0551128	0.200752	0.0808001	0.30832	0.0293162	0.153682	0.0257886	0.197366	0.00535113	0.00746174	0.00142584	0.0452383	0.0791232	0.000382234	0.114139	0.100786	0.188074	0.00845676	0.00560451	0.201211	0.0989072	0.0104937	0.2086	0.0396392	0.125168	0.0446254	0.0851632	0.0302557	0.0495687	0.0424616	0.0805562	0.147234	18.74087
20	-54769.12	-55092.22	323.093	0.289899	0.269439	0.237666	0.193704	0.0985154	0.00472176	0.053973	0.106352	0.0728829	0.285815	0.281087	0.376624	0.166129	0.064251	0.173102	0.00642119	0.0423699	0.198518	0.107859	0.260163	0.114765	0.0537684	0.160682	0.037311	0.188207	0.111287	0.156646	0.262189	0.0207156	0.176599	0.153077	0.0367977	0.0208724	0.168337	0.129222	0.198897	0.195572	0.371147	0.0187225	0.0100974	0.0104606	0.0144173	0.136406	0.0246497	0.0583672	0.0950225	0.0412398	0.0365323	0.0376966	0.097403	0.1199	0.0343177	0.0779725	0.0411395	0.0223655	0.00795998	0.0117846	0.16348	0.0291705	0.0205265	0.0046454	0.0320703	0.00777029	0.0134095	0.0189539	0.00722626	0.006359	0.121622	0.0786483	0.233891	0.120412	0.0722589	0.102081	0.068587	0.0786968	0.0651058	0.0250877	0.0332498	0.00642226	0.0566752	0.0473098	0.051875	0.13017	0.0226844	0.0589032	0.0693413	0.00838811	0.0187969	0.136321	0.0669874	0.0669533	0.0745837	0.00562798	0.0114523	0.0367437	0.116673	0.138754	0.0224649	0.0794859	0.274789	0.0749733	0.104022	0.00672775	0.0139654	0.0245822	0.027134	0.0029847	0.0496678	0.000792907	0.00584067	0.000173558	0.012099	0.012361	0.0400614	0.101852	0.015414	0.00846604	0.0233901	0.00282309	0.00803966	0.09295	0.0858097	0.0689589	0.0511234	0.127187	0.00296849	0.0251916	0.00128727	0.0166826	0.0555777	0.0100877	0.0588059	0.000961106	0.010634	0.0216567	0.0329298	0.00319381	0.10113	0.00329815	0.0186248	0.0107302	0.00168434	0.00220283	0.110644	0.00794878	0.0199019	0.00918248	0.0330816	0.019557	0.14608	0.000488233	0.0761858	0.0447597	0.0272444	0.0111999	0.0289024	0.152565	0.0572316	0.0368008	0.0240167	0.125553	0.0815832	0.00495898	0.0232456	0.00739543	0.0363108	0.015505	0.0360664	0.0340032	0.0337416	0.0995239	0.0214283	0.147236	0.0293162	0.0538833	0.0293954	0.00143644	0.0248858	0.0088298	0.00134475	0.0490075	0.0490074	0.000248452	0.114139	0.108557	0.183375	0.0112144	0.0352083	0.0831687	0.0647099	0.0104937	0.215784	0.0406288	0.0832485	0.0307987	0.0646095	0.0634472	0.0299567	0.0406593	0.0399959	0.147234	13.97267
30	-53177.42	-53507.91	330.4812	0.295827	0.28303	0.230699	0.138114	0.137125	0.004948	0.0555371	0.104657	0.0782959	0.272475	0.290179	0.366403	0.166129	0.0631161	0.101322	0.0763781	0.0439351	0.00903711	0.285705	0.249063	0.110857	0.0603148	0.105227	0.0729702	0.188207	0.113634	0.236898	0.169973	0.0593493	0.275912	0.1598	0.0367977	0.0598565	0.142693	0.160196	0.207615	0.197907	0.34987	0.0187225	0.0100974	0.00721262	0.0141568	0.145962	0.0246497	0.0526841	0.0950225	0.0412398	0.0365323	0.0395212	0.0976905	0.0763187	0.0555901	0.0496597	0.0411395	0.0215483	0.00788844	0.0356597	0.132474	0.0291705	0.0215211	0.055799	0.0481601	0.00782801	0.0134095	0.0256348	0.00690086	0.00622526	0.117893	0.0786483	0.233891	0.0766959	0.0722913	0.0606714	0.068587	0.0757529	0.0600042	0.0250877	0.0354994	0.00642226	0.0566752	0.0473098	0.051875	0.13017	0.0226844	0.0589032	0.0434663	0.00913489	0.0215052	0.136321	0.0669874	0.0669533	0.0559659	0.00562798	0.0114523	0.0436846	0.116673	0.022707	0.0704538	0.12085	0.281209	0.118989	0.10366	0.00699608	0.0218505	0.0185585	0.027134	0.00291236	0.0496678	0.00914861	0.00612105	0.000300176	0.0188897	0.0185703	0.0250319	0.00586586	0.0148334	0.00865324	0.0233901	0.00282309	0.0105293	0.09295	0.0192796	0.0689589	0.00893823	0.0352916	0.00296849	0.0300133	0.110267	0.0166826	0.0591616	0.0104086	0.0313919	0.000967837	0.014007	0.0236665	0.0274618	0.00319381	0.104934	0.00329815	0.0186248	0.0107302	0.00218616	0.0147948	0.0765121	0.0229573	0.0197935	0.00918248	0.0345853	0.0193179	0.0648405	0.000707931	0.00612145	0.0447597	0.0272444	0.0111999	0.0289024	0.146606	0.0572316	0.0368008	0.0270938	0.0872266	0.000775527	0.0156113	0.0230965	0.00768818	0.0596092	0.016209	0.00795214	0.0342035	0.00590198	0.0926792	0.0259374	0.0665974	0.0376126	0.0538833	0.0803989	0.00143644	0.0264999	0.0090109	0.0021909	0.0411118	0.0139993	0.00670874	0.118075	0.0740212	0.116964	0.18726	0.0475797	0.0137054	0.0439884	0.0274727	0.130717	0.0443243	0.0832485	0.0365925	0.064597	0.0817653	0.0140614	0.00199479	0.0399959	0.0226504	13.23384
40	-52747.09	-53076.43	329.3393	0.295827	0.28303	0.226863	0.138114	0.137125	0.0450971	0.0555371	0.104657	0.18275	0.177861	0.290179	0.353095	0.160386	0.0816568	0.101322	0.101948	0.0501798	0.0122769	0.285705	0.169237	0.110857	0.0603148	0.10166	0.0733723	0.188207	0.117887	0.185242	0.170781	0.179985	0.339805	0.165659	0.0285152	0.0598565	0.142693	0.160196	0.214702	0.197907	0.34987	0.0228837	0.0100974	0.00721262	0.0141568	0.145962	0.0247991	0.0526841	0.0950225	0.0412398	0.0455845	0.0395212	0.0988853	0.0763187	0.0555901	0.0511672	0.0410046	0.0215483	0.00596312	0.034246	0.132474	0.0427657	0.0264729	0.0575711	0.0502566	0.00876725	0.0138661	0.0256348	0.00690086	0.00888738	0.117893	0.0786483	0.169351	0.0766959	0.0647289	0.048391	0.0639638	0.0757529	0.0603865	0.0263273	0.0354994	0.00642226	0.0566752	0.0473098	0.051875	0.13017	0.0226844	0.0591162	0.0434663	0.0125717	0.0215052	0.136321	0.0669874	0.0665401	0.0559659	0.00562798	0.0117381	0.0436846	0.0708536	0.022707	0.0712211	0.124789	0.286481	0.141604	0.102606	0.007246	0.0363988	0.0185585	0.0379487	0.00291236	0.0496678	0.000672326	0.0195386	0.00260039	0.0211389	0.0133579	0.023526	0.00586586	0.0148334	0.00865324	0.0240755	0.0158593	0.0105293	0.0582181	0.0182896	0.0689589	0.00893823	0.0352916	0.0177884	0.0300133	0.110267	0.0171259	0.028835	0.0102246	0.0313919	0.00133928	0.0178485	0.0231761	0.0274618	0.00344262	0.104934	0.00329815	0.0186248	0.00672928	0.0023564	0.0151247	0.0542782	0.0229573	0.0215307	0.00918248	0.0375606	0.0193179	0.0648405	0.000489546	0.0089035	0.0439803	0.0272444	0.01139	0.0289024	0.0914561	0.0572316	0.0392454	0.0277556	0.0903535	0.00604231	0.0156113	0.0230965	0.0818733	0.0597462	0.0346485	0.00829719	0.0496945	0.00590198	0.0829017	0.0403426	0.0665974	0.0376126	0.0538833	0.12459	0.00104682	0.0253986	0.00995855	0.00218744	0.00437288	0.0139993	0.0185036	0.118075	0.0740212	0.0855099	0.18726	0.0434082	0.0137054	0.0439884	0.025799	0.131894	0.0465444	0.0820549	0.0246137	0.064597	0.113022	0.013987	0.00199479	0.0212693	0.0258922	13.34803
50	-52133.86	-52466.51	332.6489	0.295827	0.287495	0.219448	0.157504	0.140602	0.0348735	0.0473241	0.0944079	0.248734	0.169899	0.287365	0.327191	0.14503	0.104379	0.0898228	0.174067	0.0378032	0.0222148	0.259054	0.169237	0.0976746	0.118456	0.0992537	0.0869412	0.156732	0.14401	0.229971	0.162999	0.129444	0.335273	0.158903	0.0285152	0.0371578	0.148172	0.138622	0.191651	0.18581	0.314318	0.01579	0.00937754	0.0232265	0.0204755	0.14235	0.0218373	0.054186	0.0578425	0.0412398	0.0455845	0.0311108	0.0509466	0.0741628	0.0530424	0.0316868	0.0338515	0.0143914	0.00513535	0.0492497	0.132474	0.0986602	0.0264727	0.0412632	0.061439	0.0185365	0.013634	0.0503349	0.00829466	0.0061835	0.113066	0.0786483	0.169198	0.0796687	0.0647289	0.0355647	0.0554181	0.0243413	0.0630851	0.0266625	0.046785	0.0573223	0.0526527	0.0473098	0.0436547	0.0860205	0.0641233	0.0682817	0.031554	0.0125717	0.0315271	0.0962335	0.0642541	0.0648016	0.0434665	0.00651496	0.017601	0.0619501	0.0383823	0.0231991	0.0714164	0.179202	0.185274	0.160332	0.104633	0.00613351	0.0376534	0.0175066	0.0305854	0.00263643	0.0207475	0.000704882	0.012174	0.00232309	0.0287153	0.00720527	0.0334441	0.006146	0.00933252	0.00944837	0.031089	0.0148063	0.0112766	0.0523537	0.0134673	0.00943626	0.00893823	0.0489246	0.0175008	0.0295171	0.0637007	0.0257688	0.0112275	0.0154535	0.00851319	0.0145057	0.0255458	0.0225798	0.0268073	0.00758662	0.0772279	0.00337678	0.00950006	0.00493773	0.00379319	0.0318448	0.0402696	0.0321434	0.0218914	0.00957051	0.0375606	0.0121857	0.0662944	0.000475716	0.014597	0.0103251	0.030742	0.01139	0.0209083	0.054768	0.053611	0.0472279	0.0463528	0.0916532	0.0058042	0.0156194	0.0163375	0.0818733	0.0494466	0.0464059	0.00836986	0.100985	0.0243191	0.0808925	0.0414598	0.0701946	0.0507509	0.0718262	0.117804	0.0214164	0.0245065	0.00995855	0.0106464	0.00695465	0.0185004	0.0232306	0.107572	0.0676867	0.0406464	0.151149	0.0414688	0.0131751	0.0059325	0.0225438	0.0875706	0.117485	0.0800199	0.0348125	0.037088	0.155943	0.00502249	0.00163493	0.0180014	0.0372047	13.01707
60	-52033.7	-52367.31	333.6064	0.310693	0.341868	0.219448	0.157504	0.1445	0.0348735	0.0473241	0.0944079	0.248734	0.169899	0.282774	0.327191	0.139006	0.104379	0.0898228	0.174067	0.0378032	0.0336968	0.24672	0.169237	0.136089	0.0886913	0.0992537	0.0869412	0.152972	0.12959	0.229971	0.12886	0.129444	0.335273	0.165863	0.0285152	0.0366011	0.153131	0.138622	0.191651	0.18581	0.314318	0.01579	0.0119943	0.0324976	0.0211778	0.14235	0.0218373	0.054186	0.0578425	0.0611328	0.0455845	0.0311108	0.0497342	0.0741628	0.0530424	0.0316868	0.0309151	0.0104982	0.00513535	0.0501326	0.132474	0.097159	0.0406184	0.0350751	0.061439	0.0185365	0.0136372	0.0503349	0.00829466	0.00625666	0.101448	0.0786483	0.0962113	0.0767363	0.0622657	0.0355647	0.0554181	0.0298154	0.0630851	0.0254777	0.046785	0.0588233	0.0526527	0.0457032	0.0457985	0.0860205	0.0641233	0.0682817	0.0251558	0.0233126	0.0443562	0.0781579	0.0560234	0.07837	0.0434665	0.0151102	0.0264881	0.0602114	0.0383823	0.0226011	0.0714164	0.159489	0.176737	0.159486	0.121573	0.00613351	0.0483658	0.0175066	0.0320754	0.00366486	0.0207289	0.000704882	0.012174	0.00232309	0.0192253	0.00968842	0.0344736	0.00640916	0.00933252	0.0249871	0.031089	0.0148063	0.0112766	0.0547984	0.0134673	0.00943626	0.00893823	0.0489246	0.0175008	0.0151171	0.0637007	0.027026	0.0182	0.0154535	0.00851319	0.0142377	0.0521617	0.0234134	0.0268073	0.00758662	0.0772279	0.00337678	0.00690895	0.00493773	0.00359095	0.0318448	0.0402696	0.0321434	0.0351407	0.00957051	0.0375606	0.0121686	0.0662944	0.000331597	0.0140245	0.0106306	0.030742	0.01139	0.0209083	0.0539127	0.053611	0.0318711	0.0463528	0.0881105	0.00330078	0.0113533	0.0163375	0.0557348	0.0494466	0.0464059	0.00860265	0.102525	0.0326331	0.0797348	0.0329428	0.0680119	0.0508826	0.0725002	0.102643	0.0238211	0.0056761	0.00995855	0.0104567	0.00708672	0.0185004	0.0232306	0.106359	0.0632092	0.0406464	0.151149	0.0416062	0.0128197	0.0059325	0.0248853	0.0896004	0.113336	0.0800199	0.0348125	0.037088	0.125709	0.00520384	0.00131809	0.016573	0.0227194	12.92132
70	-51924.45	-52258.18	333.7279	0.42921	0.317663	0.208949	0.154719	0.133553	0.0470898	0.0329827	0.0802365	0.28628	0.138737	0.282774	0.356384	0.138553	0.0809427	0.0849711	0.171246	0.028815	0.0385562	0.24672	0.131761	0.142967	0.0997257	0.0701035	0.0846215	0.147017	0.147231	0.228678	0.138308	0.132188	0.292742	0.2544	0.0209659	0.0410932	0.153291	0.157987	0.164299	0.215512	0.232026	0.0141448	0.00928838	0.032235	0.011622	0.15298	0.0223648	0.0374456	0.0687926	0.0613039	0.0517303	0.0290391	0.058601	0.0750335	0.094953	0.0288828	0.0360054	0.0116866	0.00749263	0.0613224	0.132474	0.106595	0.0380791	0.0367928	0.0601395	0.0121833	0.0153798	0.0506925	0.0123014	0.012694	0.101542	0.0911178	0.100869	0.0833053	0.0617732	0.0353185	0.0332191	0.0268029	0.0613128	0.0331559	0.0278837	0.0401292	0.0518978	0.0519809	0.0457985	0.0860205	0.0648868	0.0526213	0.032914	0.040293	0.0423372	0.0493197	0.0537977	0.0771862	0.0454932	0.0259336	0.0264881	0.063187	0.0356259	0.0307502	0.0708186	0.164138	0.198348	0.120069	0.1257	0.0262504	0.0381161	0.0194338	0.0357039	0.0041519	0.0212066	4.61659e-05	0.0121747	0.00382594	0.0102471	0.0096203	0.0240738	0.0256332	0.00752853	0.0180576	0.0446899	0.0223035	0.0199079	0.0564226	0.00799459	0.0168605	0.00926851	0.0484862	0.011762	0.0117046	0.0471019	0.0279987	0.0120452	0.0108644	0.00850674	0.0094548	0.0521617	0.0210756	0.0260257	0.00501062	0.0352545	0.00807424	0.00744059	0.00716607	0.00438584	0.033876	0.0408212	0.0526923	0.0138079	0.00694527	0.0224722	0.0163415	0.043475	0.0220495	0.0155915	0.01681	0.0394924	0.0227246	0.0128161	0.0709659	0.060256	0.0454236	0.0460547	0.0915917	0.00344449	0.00750409	0.0112712	0.0569929	0.059407	0.0858852	0.0171952	0.100623	0.0217808	0.0743608	0.0340529	0.0623583	0.0861994	0.0719992	0.100861	0.019476	0.00814517	0.0139691	0.00981854	0.00803125	0.0181427	0.0112292	0.0899754	0.0580029	0.0438528	0.141025	0.033106	0.0138889	0.00878552	0.0255895	0.0750245	0.107897	0.0374908	0.0117133	0.0360303	0.117513	0.00285177	0.0104199	0.0226166	0.0208073	12.90917
80	-51894.98	-52229.48	334.5011	0.39919	0.28792	0.211002	0.163564	0.138957	0.0487604	0.0388188	0.0834381	0.2239	0.125828	0.285433	0.283269	0.12812	0.11641	0.11382	0.177927	0.0300172	0.023389	0.232451	0.139797	0.151216	0.091307	0.0800255	0.0931472	0.145556	0.150648	0.228678	0.137683	0.159861	0.289904	0.22331	0.0265908	0.0493246	0.140544	0.168161	0.172716	0.233019	0.261824	0.0103092	0.010968	0.0316627	0.0120056	0.145453	0.0240898	0.0312522	0.0739288	0.0629879	0.0545545	0.0302027	0.0589183	0.0724916	0.114279	0.0322856	0.0436344	0.0161072	0.00653722	0.0589192	0.122682	0.095571	0.0347297	0.0283871	0.0507163	0.0116662	0.0178524	0.0446647	0.0121243	0.00775526	0.0692077	0.0911178	0.0957961	0.0876087	0.060212	0.0361351	0.0386339	0.0265802	0.0520992	0.032037	0.032617	0.0420378	0.0518978	0.0519809	0.0382311	0.0985106	0.0734539	0.0804225	0.0354222	0.0361738	0.0449975	0.0511544	0.0518081	0.060887	0.0463103	0.0219941	0.0251996	0.0488977	0.0234754	0.0300083	0.0862845	0.165888	0.195791	0.126685	0.152672	0.00603344	0.0414412	0.0161673	0.0443588	0.0041519	0.0180391	0.00257361	0.0128415	0.00192056	0.00881009	0.0105457	0.0185105	0.0287506	0.00731435	0.0229063	0.0542776	0.0256739	0.0297457	0.0538026	0.00559254	0.0215022	0.00963772	0.0350178	0.0116581	0.0131906	0.0642987	0.0429738	0.00752746	0.0167236	0.00940109	0.0136346	0.0417462	0.0225343	0.024088	0.010957	0.0343545	0.00896454	0.00936102	0.0167837	0.00786027	0.0335082	0.0442557	0.0534694	0.0167693	0.000669362	0.0302306	0.00683768	0.0506563	0.0114573	0.0157508	0.0193321	0.0285595	0.0160808	0.0131147	0.0755598	0.0478897	0.0441352	0.074912	0.091833	0.0141844	0.00835823	0.0106395	0.0251119	0.063713	0.0890751	0.0109372	0.0727368	0.0158744	0.0643398	0.0318668	0.0803526	0.0471476	0.0678326	0.128497	0.0274325	0.00650174	0.0189033	0.0152521	0.00722252	0.0209438	0.0179396	0.0717736	0.0625448	0.0448793	0.140864	0.0294966	0.00630618	0.00839797	0.0415646	0.068805	0.103664	0.0470529	0.0150171	0.0360303	0.123702	0.00342382	0.00278022	0.025709	0.00978621	12.83185
90	-51904.25	-52237	332.7455	0.39919	0.306423	0.210269	0.163564	0.138957	0.0487604	0.0388188	0.0834381	0.220976	0.125828	0.291627	0.283269	0.126287	0.11641	0.11382	0.178744	0.0279763	0.023389	0.232451	0.139497	0.151216	0.0901104	0.0800255	0.0931472	0.145556	0.150648	0.228678	0.137683	0.159861	0.301216	0.22331	0.0265908	0.0493246	0.140544	0.168161	0.174356	0.233019	0.261824	0.0106888	0.010968	0.0371628	0.0120056	0.143289	0.0240898	0.0371265	0.0739288	0.0629879	0.0527895	0.0300755	0.0647313	0.069916	0.11774	0.0322856	0.0436344	0.0123831	0.00949028	0.0589192	0.122682	0.095571	0.0292158	0.0283871	0.0507163	0.0135591	0.0178524	0.0465536	0.0121243	0.00765977	0.0692077	0.113013	0.131927	0.0876087	0.060212	0.0361351	0.0396687	0.0333592	0.0520992	0.032037	0.032617	0.0420378	0.0518978	0.0519809	0.0501382	0.0985106	0.0734539	0.0804225	0.0354222	0.0464399	0.0532637	0.0511544	0.0518081	0.060887	0.0470977	0.0219941	0.0251996	0.0663358	0.0234754	0.0290028	0.0862845	0.158645	0.195791	0.126685	0.156019	0.00603344	0.0506252	0.0161673	0.0386316	0.00518441	0.0180391	0.00257361	0.0141533	0.00192056	0.00881009	0.0105457	0.0187603	0.0281862	0.0076365	0.0229063	0.0698431	0.0192156	0.0297457	0.0538026	0.00559254	0.0215022	0.00963772	0.0350178	0.0116581	0.00907468	0.0642987	0.0429738	0.00854301	0.0167236	0.00940109	0.0136346	0.0417462	0.0225343	0.024088	0.00895904	0.0291436	0.00588201	0.00936102	0.0167837	0.00786027	0.0335082	0.0442557	0.0534694	0.0188776	0.0058083	0.0302306	0.00683768	0.0506563	0.0114573	0.0151748	0.0193321	0.0328246	0.0160808	0.0104385	0.0755598	0.0478897	0.0441352	0.0713842	0.091833	0.0141844	0.00835823	0.0107219	0.0251119	0.063713	0.0933276	0.0167141	0.0727368	0.0158744	0.0643398	0.0318668	0.0803526	0.0471476	0.0799449	0.128497	0.0171772	0.00650174	0.0189033	0.0152521	0.00722252	0.0209438	0.0179396	0.068543	0.0601519	0.0448793	0.140864	0.0294966	0.00630618	0.00839797	0.0508268	0.068805	0.103664	0.0470529	0.0150171	0.0463709	0.123702	0.00342382	0.00357656	0.0174335	0.00978621	13.00741
